"n","Sort","CPU Seconds"
8,"IR",1.7249999999999904E-5
8,"MR",5.275000000000071E-5
16,"IR",7.17499999999989E-5
16,"MR",1.270000000000021E-4
32,"IR",2.649999999999979E-4
32,"MR",4.0675000000000086E-4
64,"IR",0.0010859999999999967
64,"MR",8.707499999999965E-4
128,"IR",0.0033557499999999907
128,"MR",0.0016837499999999908
256,"IR",0.013408750000000004
256,"MR",0.0038077500000000056
512,"IR",0.056142500000000026
512,"MR",0.009370500000000018
1024,"IR",0.22547775
1024,"MR",0.017836250000000026
2048,"IR",0.8966090000000002
2048,"MR",0.0390147500000001
8,"IA",5.2500000000677005E-6
8,"MA",4.574999999995555E-5
16,"IA",1.2000000000123023E-5
16,"MA",1.1249999999995985E-4
32,"IA",3.774999999994755E-5
32,"MA",4.11750000000044E-4
64,"IA",5.4249999999811394E-5
64,"MA",6.537499999998975E-4
128,"IA",1.0949999999998461E-4
128,"MA",0.0014732500000000925
256,"IA",2.2100000000002673E-4
256,"MA",0.0032564999999997735
512,"IA",4.4549999999987655E-4
512,"MA",0.007037999999999878
1024,"IA",8.51500000000005E-4
1024,"MA",0.014973750000000008
2048,"IA",0.0017810000000000326
2048,"MA",0.033921250000000125
8,"ID",2.6500000000151402E-5
8,"MD",5.100000000002325E-5
16,"ID",1.072500000001142E-4
16,"MD",1.2049999999996786E-4
32,"ID",4.3174999999973096E-4
32,"MD",2.847500000000558E-4
64,"ID",0.0016937499999998273
64,"MD",6.545000000000023E-4
128,"ID",0.006929499999999589
128,"MD",0.0014612499999997475
256,"ID",0.028209999999999624
256,"MD",0.0030999999999994365
512,"ID",0.10908650000000009
512,"MD",0.006890750000000168
1024,"ID",0.43683625000000026
1024,"MD",0.016312749999999987
2048,"ID",1.7352687500000004
2048,"MD",0.0340805000000004
